chain,platform,operation,execution_effect,decode_status,minute_index,minute_utc,record_count,distinct_transactions,coverage
solana,pump.fun,other.DistributeCreatorFeesEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,8,8,complete
solana,pump.fun,other.DistributeCreatorFeesEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,1,1,complete
solana,pump.fun,other.DistributeCreatorFeesEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,7,7,complete
solana,pump.fun,other.DistributeCreatorFeesEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,13,13,complete
solana,pump.fun,other.DistributeCreatorFeesEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,6,6,complete
solana,pump.fun,other.DistributeFeeToHoldersEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,131,131,complete
solana,pump.fun,other.DistributeFeeToHoldersEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,13,13,complete
solana,pump.fun,other.DistributeFeeToHoldersEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,8,8,complete
solana,pump.fun,other.DistributeFeeToHoldersEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,34,34,complete
solana,pump.fun,other.DistributeFeeToHoldersEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,56,56,complete
solana,pump.fun,other.ExtendAccountEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,7,7,complete
solana,pump.fun,other.ExtendAccountEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,8,8,complete
solana,pump.fun,other.ExtendAccountEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,7,7,complete
solana,pump.fun,other.ExtendAccountEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,9,9,complete
solana,pump.fun,other.ExtendAccountEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,5,5,complete
solana,pump.fun,other.ExtendAccountEvent,not_committed,decoded,0,2026-09-14T12:00:00+00:00,1,1,complete
solana,pump.fun,other.ExtendAccountEvent,unknown,decoded,3,2026-09-14T12:03:00+00:00,2,2,complete
solana,pump.fun,other.ExtendAccountEvent,unknown,decoded,4,2026-09-14T12:04:00+00:00,1,1,complete
solana,pump.fun,other.InitUserVolumeAccumulatorEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,10,10,complete
solana,pump.fun,other.InitUserVolumeAccumulatorEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,10,10,complete
solana,pump.fun,other.InitUserVolumeAccumulatorEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,10,10,complete
solana,pump.fun,other.InitUserVolumeAccumulatorEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,20,20,complete
solana,pump.fun,other.InitUserVolumeAccumulatorEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,17,17,complete
solana,pump.fun,other.InitUserVolumeAccumulatorEvent,not_committed,decoded,2,2026-09-14T12:02:00+00:00,2,2,complete
solana,pump.fun,other.InitUserVolumeAccumulatorEvent,unknown,decoded,1,2026-09-14T12:01:00+00:00,1,1,complete
solana,pump.fun,other.MigrateBondingCurveCreatorEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,2,2,complete
solana,pump.fun,trade,committed,decoded,0,2026-09-14T12:00:00+00:00,1314,1314,complete
solana,pump.fun,trade,committed,decoded,1,2026-09-14T12:01:00+00:00,1446,1446,complete
solana,pump.fun,trade,committed,decoded,2,2026-09-14T12:02:00+00:00,1761,1761,complete
solana,pump.fun,trade,committed,decoded,3,2026-09-14T12:03:00+00:00,1983,1982,complete
solana,pump.fun,trade,committed,decoded,4,2026-09-14T12:04:00+00:00,1242,1242,complete
solana,pump.fun,trade,not_committed,decoded,0,2026-09-14T12:00:00+00:00,1,1,complete
solana,pump.fun,trade,not_committed,decoded,1,2026-09-14T12:01:00+00:00,3,3,complete
solana,pump.fun,trade,not_committed,decoded,2,2026-09-14T12:02:00+00:00,3,3,complete
solana,pump.fun,trade,not_committed,decoded,3,2026-09-14T12:03:00+00:00,5,5,complete
