chain,execution_status,observed_transactions,observed_denominator,observed_fraction,coverage
solana,failed,140640,1133076,0.12412230071063195,complete
solana,success,992436,1133076,0.8758776992893681,complete
solana,unknown,0,1133076,0.0,complete
bsc,failed,10096,88434,0.11416423547504354,complete
bsc,success,78338,88434,0.8858357645249565,complete
bsc,unknown,0,88434,0.0,complete
base,failed,1807,32445,0.05569425181075666,complete
base,success,30638,32445,0.9443057481892433,complete
base,unknown,0,32445,0.0,complete
