launch_record_id,object_id,address_or_mint,request_id_declared,creation_tx_id,chain_event_time_utc,coverage_state
launch:346cd074857f0b4092a29970,eip155:56:0xa83771f99f11d26ff30395b6f76c82e77fd4ffff,0xa83771f99f11d26ff30395b6f76c82e77fd4ffff,102813584,eip155:56:tx:0x2fc07efe249f41e5c9f18e311397c20ee6ced083628bd7a9900eeda0f0a79eac,2026-09-14T12:03:46Z,not_attempted
launch:0a0e833c8ac6f2ea0fdd07ac,eip155:56:0xc95c345823683a2fe5641808995d35c4e36dffff,0xc95c345823683a2fe5641808995d35c4e36dffff,102813586,eip155:56:tx:0x0bf922294aa7d1bdb4ea03afff86c00f213833fbc76689cadd4927ccb0861308,2026-09-14T12:03:56Z,not_attempted
launch:caae0e7c7387c328340950cc,eip155:56:0x5e92efcadc195110b40db0c976f50099b7bfffff,0x5e92efcadc195110b40db0c976f50099b7bfffff,102813588,eip155:56:tx:0xf8a28304cd6512c03cd6a939dc1bc01fa8398882744686c5b7d15ec03a9bca22,2026-09-14T12:04:21Z,not_attempted
launch:d4ede5a2b117493a7a053b90,eip155:56:0xd94ae9d68b94d705357bddd1c1bf8afa419affff,0xd94ae9d68b94d705357bddd1c1bf8afa419affff,102813589,eip155:56:tx:0x6a3c8cf743bd63d4e947de30ab9f6bffe70d6ace2827a8c9ac4a6603149436df,2026-09-14T12:04:29Z,not_attempted
launch:d644a7ec1ba4da2a7e093e9f,eip155:56:0x18e7c7c38e80b4a49fa3a8be1bfca0fbc769ffff,0x18e7c7c38e80b4a49fa3a8be1bfca0fbc769ffff,102813591,eip155:56:tx:0x7e2a219f737fb9f5204e241f73c68882fdecdad2afaedf3597e1304c83d0c04a,2026-09-14T12:04:33Z,not_attempted
launch:4dddcc78787a10c61ad6f619,eip155:56:0x119c277e147bc5d899889db3520f70968277ffff,0x119c277e147bc5d899889db3520f70968277ffff,102813594,eip155:56:tx:0x6cedf78cd6b2b40b9f9bf4cfc32a8868ec41f8dab67684d7b3d0b34c8c3f59c6,2026-09-14T12:04:40Z,not_attempted
launch:26c03be999ece4bd989428d9,eip155:56:0x633db517042fbb16cf00ef9f620efc5d5ac2ffff,0x633db517042fbb16cf00ef9f620efc5d5ac2ffff,102813593,eip155:56:tx:0x807d752724aaafe5846493c61baf24c4bb3fccb2b0d03ebbe749593ad5a373cd,2026-09-14T12:04:40Z,not_attempted
launch:878091d5fee6f21a2c2c9513,eip155:56:0xe500c87b40ad2ae296ff653415f765c92be9ffff,0xe500c87b40ad2ae296ff653415f765c92be9ffff,102813596,eip155:56:tx:0x25673cf727d6872af72ddb237fadabc43ad36af72476f9faa6c65d799556e882,2026-09-14T12:04:45Z,not_attempted
launch:6153d61172cf9a6b3b7bedf1,eip155:56:0xe2f22304d12edfaa8705f8af1fbcdb9190cdffff,0xe2f22304d12edfaa8705f8af1fbcdb9190cdffff,102813595,eip155:56:tx:0xa6d3034583ecd5dcf45a62d083bd6db9049e0d97db08367590060b1ca7bb0c78,2026-09-14T12:04:45Z,not_attempted
launch:d622c0478420a1c3c54f1d11,eip155:56:0x4119ab90c8ad9e7dc8f5a7900d3790796917ffff,0x4119ab90c8ad9e7dc8f5a7900d3790796917ffff,102813598,eip155:56:tx:0x69c1d73989a3d94a367ace36014fcb6e4fd6eb694bedcd108337aa4102326a0f,2026-09-14T12:04:53Z,not_attempted
launch:87f8617af41e531fb738d585,eip155:56:0xf1f5e76c53d24715eb23f6c68f0d72da04eaffff,0xf1f5e76c53d24715eb23f6c68f0d72da04eaffff,102813599,eip155:56:tx:0x6d66b7af746d88791d6da75c46a041bc94fbd26efee036efa1b755c738375d77,2026-09-14T12:04:53Z,access_restricted_here
